1903,1
1905,1
1906,1
1910,3
1914,2
1916,1
1917,2
1918,1
1920,2
1925,1
1927,1
1929,2
1930,6
1931,3
1932,2
1933,1
1934,1
1935,2
1936,3
1937,2
1939,3
1940,1
1941,4
1942,5
1943,10
1944,14
1945,14
1946,12
1947,49
1948,15
1949,22
1950,38
1951,28
1952,62
1953,41
1954,65
1955,44
1956,57
1957,88
1958,63
1959,65
1960,82
1961,62
1962,84
1963,99
1964,117
1965,225
1966,247
1967,244
1968,274
1969,192
1970,194
1971,145
1972,212
1973,287
1974,329
1975,384
1976,344
1977,342
1978,407
1979,305
1980,303
1981,210
1982,226
1983,208
1984,218
1985,261
1986,236
1987,279
1988,289
1989,306
1990,315
1991,286
1992,317
1993,386
1994,509
1995,1478
1996,1015
1997,1451
1998,2023
1999,3157
2000,3093
2001,3531
2002,3690
2003,4419
2004,4741
2005,4519
2006,4160
2007,4731
2008,5291
2009,4982
2010,4769
2011,5612
2012,8102
2013,7802
2014,8683
2015,6892
2016,5670
2017,4995
2018,3236
2019,221
